Date,France_LDZ,Belgium_LDZ,Italy_LDZ,Italy_Other,Netherlands_LDZ,GB_LDZ,Austria_LDZ,Germany_LDZ,Switzerland_LDZ,Luxembourg_LDZ,Ireland_LDZ,Total_LDZ_Demand
2017-03-23,102.374858,26.112337,86.094547,1.95868,53.493945,193.56,24.979974,117.934605,9.494036,2.663725,11.06,629.726705
2017-03-24,97.515944,25.609155,83.826604,1.540826,52.656673,179.64,24.579975,117.70606,9.016063,2.573906,12.51,607.175207
2017-03-25,78.802482,21.036887,66.217995,2.320107,45.48068,148.71,20.771797,112.493065,8.075319,2.127452,8.4,514.435784
2017-03-26,74.195723,20.65007,70.166164,0.467009,47.696769,140.72,22.052704,114.930699,9.378227,2.088634,6.42,508.765998
2017-03-27,75.711331,21.192069,90.058361,1.891707,43.725955,156.37,25.484519,109.334432,8.9588,2.304089,6.42,541.451262
2017-03-28,71.332017,19.153526,86.301983,1.584353,37.67187,153.32,22.527249,90.804633,8.803518,2.108907,8.26,501.868057
2017-03-29,66.338877,19.857798,76.503666,1.363499,42.173956,144.38,21.259978,77.961101,7.984655,2.037634,7.45,467.311164
2017-03-30,56.765096,15.39553,67.549266,2.679252,29.182879,117.14,20.815433,64.296843,7.801019,1.955816,7.17,390.751133
2017-03-31,54.862007,14.380167,60.9981,1.550262,28.14888,113.5,19.887252,53.942671,7.902201,1.653089,7.82,364.64463
2017-04-01,56.366251,16.104892,53.143227,2.792324,35.156145,117.5,14.618167,52.5864,7.225202,1.875998,6.56,363.928606
2017-04-02,59.709311,15.802438,59.081484,3.492796,32.281512,117.49,14.517258,57.861758,7.213738,1.785635,5.34,374.57593
2017-04-03,61.969036,20.429797,64.521106,1.435562,42.116229,127.43,17.206346,70.910745,7.773083,2.017634,5.41,421.219538
2017-04-04,63.157926,19.855707,62.147436,1.097035,38.735778,131.49,17.600891,81.206643,8.7056,2.129907,8.2,434.326922
2017-04-05,67.88053,22.707431,66.901285,2.583888,46.168952,136.5,21.63725,93.753721,8.846164,2.205634,10.01,479.194855
2017-04-06,74.335232,25.563883,65.908004,1.531398,52.678582,131.8,26.081791,105.863436,8.989036,2.402634,11.09,506.243996
2017-04-07,64.583851,22.786158,63.988761,1.603071,44.171045,127.67,24.376338,104.126347,8.25681,2.23727,10.98,474.779652
2017-04-08,46.775233,17.666164,51.450683,2.11708,37.820143,101.94,18.709981,91.324178,6.265339,1.865725,8.45,384.384525
