Date,Total_Gas_to_Power_Demand
2019-09-09,213.07
2019-09-10,198.28
2019-09-11,171.92
2019-09-12,181.79
2019-09-13,192.03
2019-09-14,135.63
2019-09-15,131.61
2019-09-16,211.91
2019-09-17,203.86
2019-09-18,220.69
2019-09-19,223.83
2019-09-20,187.62
2019-09-21,124.76
2019-09-22,136.62
2019-09-23,203.25
2019-09-24,211.77
2019-09-25,208.73
2019-09-26,192.98
2019-09-27,176.59
2019-09-28,111.95
2019-09-29,104.36
2019-09-30,186.36
2019-10-01,204.17
2019-10-02,207.63
2019-10-03,200.25
2019-10-04,188.63
2019-10-05,153.28
2019-10-06,128.4
2019-10-07,191.73
2019-10-08,179.95
2019-10-09,181.09
2019-10-10,177.16
2019-10-11,161.85
2019-10-12,158.29
2019-10-13,143.61
2019-10-14,225.04
2019-10-15,231.31
2019-10-16,216.99
2019-10-17,229.31
2019-10-18,207.89
2019-10-19,165.6
2019-10-20,162.03
2019-10-21,241.16
2019-10-22,238.78
2019-10-23,227.51
2019-10-24,220.21
2019-10-25,196.64
2019-10-26,122.85
2019-10-27,142.88
2019-10-28,247.41
2019-10-29,255.03
2019-10-30,248.07
2019-10-31,237.25
2019-11-01,159.83
2019-11-02,114.44
2019-11-03,122.57
2019-11-04,189.05
2019-11-05,222.69
2019-11-06,242.08
2019-11-07,209.13
2019-11-08,219.16
2019-11-09,162.31
2019-11-10,160.33
2019-11-11,176.33
2019-11-12,195.51
2019-11-13,228.5
2019-11-14,234.41
2019-11-15,217.55
2019-11-16,201.7
2019-11-17,178.45
2019-11-18,242.05
2019-11-19,257.1
2019-11-20,240.78
2019-11-21,232.77
2019-11-22,198.53
2019-11-23,142.33
2019-11-24,153.13
2019-11-25,219.54
2019-11-26,195.43
2019-11-27,170.74
2019-11-28,167.93
2019-11-29,197.0
2019-11-30,178.05
2019-12-01,167.05
2019-12-02,239.39
2019-12-03,246.26
2019-12-04,243.51
2019-12-05,232.86
2019-12-06,186.46
2019-12-07,132.8
2019-12-08,92.67
2019-12-09,186.12
2019-12-10,194.97
2019-12-11,217.88
2019-12-12,233.18
2019-12-13,187.88
2019-12-14,109.36
2019-12-15,109.17
2019-12-16,220.65
2019-12-17,215.61
2019-12-18,190.07
2019-12-19,149.37
2019-12-20,132.97
2019-12-21,110.81
2019-12-22,106.07
2019-12-23,101.61
2019-12-24,101.6
2019-12-25,104.99
2019-12-26,100.97
2019-12-27,141.29
2019-12-28,110.88
2019-12-29,99.02
2019-12-30,132.37
2019-12-31,144.63
2020-01-01,88.38
2020-01-02,145.3
2020-01-03,146.61
2020-01-04,134.73
2020-01-05,126.0
2020-01-06,160.13
2020-01-07,192.95
2020-01-08,231.71
2020-01-09,214.06
2020-01-10,207.87
2020-01-11,142.35
2020-01-12,126.55
2020-01-13,203.9
2020-01-14,183.37
2020-01-15,186.72
2020-01-16,198.48
2020-01-17,209.4
2020-01-18,172.73
2020-01-19,180.21
2020-01-20,267.66
2020-01-21,289.03
2020-01-22,292.77
2020-01-23,291.33
2020-01-24,274.7
2020-01-25,205.67
2020-01-26,170.92
2020-01-27,214.75
2020-01-28,187.17
2020-01-29,184.56
2020-01-30,179.97
2020-01-31,163.4
2020-02-01,120.96
2020-02-02,101.69
2020-02-03,159.81
