Date,Total_Industrial_Demand
2019-09-20,256.861631
2019-09-21,223.548836
2019-09-22,220.620856
2019-09-23,258.957607
2019-09-24,257.10786
2019-09-25,260.722857
2019-09-26,251.574437
2019-09-27,240.417413
2019-09-28,213.687329
2019-09-29,220.042342
2019-09-30,261.229506
2019-10-01,255.441519
2019-10-02,257.739743
2019-10-03,253.878929
2019-10-04,253.247241
2019-10-05,234.636521
2019-10-06,238.381867
2019-10-07,271.01811
2019-10-08,263.063116
2019-10-09,269.040037
2019-10-10,268.392794
2019-10-11,260.943583
2019-10-12,235.522677
2019-10-13,223.197548
2019-10-14,255.193314
2019-10-15,259.17545
2019-10-16,268.427875
2019-10-17,267.067416
2019-10-18,255.251998
2019-10-19,237.615917
2019-10-20,237.711398
2019-10-21,269.322526
2019-10-22,273.011352
2019-10-23,271.477575
2019-10-24,265.282809
2019-10-25,253.786546
2019-10-26,234.702005
2019-10-27,251.042925
2019-10-28,286.282414
2019-10-29,288.796348
2019-10-30,295.05712
2019-10-31,288.653857
2019-11-01,259.311165
2019-11-02,240.599012
2019-11-03,249.012883
2019-11-04,285.251133
2019-11-05,291.905745
2019-11-06,297.844663
2019-11-07,300.326939
2019-11-08,298.810646
2019-11-09,274.804474
2019-11-10,278.601436
2019-11-11,310.837703
2019-11-12,315.872907
2019-11-13,321.110727
2019-11-14,314.532411
2019-11-15,312.984766
2019-11-16,280.331865
2019-11-17,285.062528
2019-11-18,317.49318
2019-11-19,337.396923
2019-11-20,339.102581
2019-11-21,328.434122
2019-11-22,307.433943
2019-11-23,284.037261
2019-11-24,284.411608
2019-11-25,318.77889
2019-11-26,307.100333
2019-11-27,302.224952
2019-11-28,313.134004
2019-11-29,320.267276
2019-11-30,294.444749
2019-12-01,298.354091
2019-12-02,339.422905
2019-12-03,335.357427
2019-12-04,339.722472
2019-12-05,332.04416
