,Demand,,,,,,,,,,Demand (Net),,,,
,,,,,,,,,,,,,,,
,France,Belgium,Italy,Netherlands,GB,Austria,Germany,Switzerland,Luxembourg,Island of Ireland,Island of Ireland,Total,Industrial,LDZ,Gas-to-Power
,,,,,,,,,,,,,,,
42782,174.0128909,60.35581818,285.1136455,128.1715455,266.25,40.41909091,351.2746364,13.63401818,2.998363636,0,9.75,1331.980009,290.962603,809.0083,228.2576515
42783,177.2486273,61.50990909,278.6192,135.2687273,257.61,38.53818182,342.387,13.40687273,2.958636364,0,8.96,1316.507155,296.586603,779.8612,236.3135333
42784,172.5897545,51.88872727,238.9955273,120.2234545,228.22,30.60090909,315.8797273,13.64490909,2.941454545,0,6.8,1181.784464,265.7275273,735.3456818,177.8797091
42785,170.3717545,53.64436364,238.5537364,114.5053636,220.17,32.81272727,311.2356364,13.32946364,2.850818182,0,5.67,1163.143864,261.5521091,741.5082727,156.8035727
42786,172.9177,58.54681818,301.8528818,118.9417273,220.54,40.21181818,313.2948182,12.92884545,2.898909091,0,5.29,1247.423518,286.058297,758.1051909,199.0305758
42787,162.3736727,55.80618182,296.6723091,108.7902727,225.85,37.19090909,294.4822727,11.95776364,2.728818182,0,5.23,1201.0822,279.6716394,719.5825364,197.4546606
42788,163.8893182,57.93254545,284.8150182,114.2885455,235.62,29.70818182,277.0331818,10.68636364,2.813272727,0,6.69,1183.476427,277.2797152,712.1104182,190.4987485
42789,171.1404091,60.52181818,276.2317909,125.9614545,267.41,26.68090909,276.0089091,10.20053636,2.890727273,0,8.04,1225.086555,280.0923333,747.8018182,193.4048576
42790,185.0989636,63.39209091,270.1962182,130.032,277.23,29.93727273,315.8854545,12.81573636,3.170727273,0,8.85,1296.608464,290.9329121,788.1059818,213.9681152
42791,172.8784182,55.17590909,221.1158091,121.0628182,244.98,26.15272727,302.0728182,13.05136364,2.783,0,5.95,1165.222864,254.6857091,753.0897636,153.7355727
42792,153.3611455,50.483,213.6280727,106.5731818,222.05,25.29636364,285.3618182,11.96954545,2.549636364,0,5.29,1076.562764,243.967103,700.2476091,129.0518697
42793,175.3828545,56.66127273,261.9260455,117.8429091,292.26,28.24818182,284.113,11.71507273,2.777636364,0,12.21,1243.136973,273.0551212,766.9695636,199.4919242
42794,193.5287545,61.94254545,259.7556364,134.2475455,307.12,33.06,301.074,13.32118182,3.290454545,0,9.94,1317.280118,288.0741697,822.8806,202.4857121
